[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 1 batch 1700/1831 | run 0.4912 | lr 4.00e-04 | t 358s
[v3] ep 1 batch 1750/1831 | run 0.4950 | lr 4.00e-04 | t 368s
[v3] ep 1 batch 1800/1831 | run 0.5011 | lr 4.00e-04 | t 378s
[v3] ep  1 | tr 0.5048 | vl_ema 0.9028 | iou_ema 0.0000 *NEW BEST* | total 759s
[v3] ep 2 batch    0/1831 | run 0.6852 | lr 4.00e-04 | t 0s
[v3] ep 2 batch   50/1831 | run 0.8172 | lr 4.00e-04 | t 10s
[v3] ep 2 batch  100/1831 | run 0.8098 | lr 4.00e-04 | t 20s
[v3] ep 2 batch  150/1831 | run 0.7816 | lr 4.00e-04 | t 30s
[v3] ep 2 batch  200/1831 | run 0.7528 | lr 4.00e-04 | t 40s
[v3] ep 2 batch  250/1831 | run 0.7419 | lr 4.00e-04 | t 50s
[v3] ep 2 batch  300/1831 | run 0.7291 | lr 4.00e-04 | t 59s
[v3] ep 2 batch  350/1831 | run 0.7262 | lr 4.00e-04 | t 69s
[v3] ep 2 batch  400/1831 | run 0.7244 | lr 4.00e-04 | t 79s
[v3] ep 2 batch  450/1831 | run 0.7239 | lr 4.00e-04 | t 89s
[v3] ep 2 batch  500/1831 | run 0.7347 | lr 4.00e-04 | t 99s
[v3] ep 2 batch  550/1831 | run 0.7460 | lr 4.00e-04 | t 109s
[v3] ep 2 batch  600/1831 | run 0.7486 | lr 4.00e-04 | t 118s
[v3] ep 2 batch  650/1831 | run 0.7471 | lr 4.00e-04 | t 128s
[v3] ep 2 batch  700/1831 | run 0.7435 | lr 4.00e-04 | t 138s
[v3] ep 2 batch  750/1831 | run 0.7448 | lr 4.00e-04 | t 148s
[v3] ep 2 batch  800/1831 | run 0.7466 | lr 4.00e-04 | t 158s
[v3] ep 2 batch  850/1831 | run 0.7478 | lr 4.00e-04 | t 167s
[v3] ep 2 batch  900/1831 | run 0.7470 | lr 4.00e-04 | t 177s
[v3] ep 2 batch  950/1831 | run 0.7421 | lr 4.00e-04 | t 187s
[v3] ep 2 batch 1000/1831 | run 0.7366 | lr 4.00e-04 | t 197s
[v3] ep 2 batch 1050/1831 | run 0.7316 | lr 4.00e-04 | t 207s
[v3] ep 2 batch 1100/1831 | run 0.7293 | lr 4.00e-04 | t 216s
[v3] ep 2 batch 1150/1831 | run 0.7268 | lr 4.00e-04 | t 226s
[v3] ep 2 batch 1200/1831 | run 0.7233 | lr 4.00e-04 | t 236s
[v3] ep 2 batch 1250/1831 | run 0.7210 | lr 4.00e-04 | t 246s
[v3] ep 2 batch 1300/1831 | run 0.7199 | lr 4.00e-04 | t 256s
[v3] ep 2 batch 1350/1831 | run 0.7202 | lr 4.00e-04 | t 266s
[v3] ep 2 batch 1400/1831 | run 0.7208 | lr 4.00e-04 | t 276s
[v3] ep 2 batch 1450/1831 | run 0.7214 | lr 4.00e-04 | t 286s
[v3] ep 2 batch 1500/1831 | run 0.7227 | lr 4.00e-04 | t 297s
[v3] ep 2 batch 1550/1831 | run 0.7229 | lr 4.00e-04 | t 307s
[v3] ep 2 batch 1600/1831 | run 0.7224 | lr 4.00e-04 | t 317s
[v3] ep 2 batch 1650/1831 | run 0.7228 | lr 4.00e-04 | t 327s
[v3] ep 2 batch 1700/1831 | run 0.7228 | lr 4.00e-04 | t 337s
[v3] ep 2 batch 1750/1831 | run 0.7217 | lr 4.00e-04 | t 347s
[v3] ep 2 batch 1800/1831 | run 0.7201 | lr 4.00e-04 | t 357s
[v3] ep  2 | tr 0.7189 | vl_ema 0.7591 | iou_ema 0.0000 *NEW BEST* | total 1128s
[v3] ep 3 batch    0/1831 | run 0.6354 | lr 3.98e-04 | t 0s
[v3] ep 3 batch   50/1831 | run 0.6752 | lr 3.98e-04 | t 10s
[v3] ep 3 batch  100/1831 | run 0.6628 | lr 3.98e-04 | t 20s
[v3] ep 3 batch  150/1831 | run 0.6529 | lr 3.98e-04 | t 30s
[v3] ep 3 batch  200/1831 | run 0.6431 | lr 3.98e-04 | t 40s
[v3] ep 3 batch  250/1831 | run 0.6561 | lr 3.98e-04 | t 50s
[v3] ep 3 batch  300/1831 | run 0.6688 | lr 3.98e-04 | t 60s
[v3] ep 3 batch  350/1831 | run 0.6715 | lr 3.98e-04 | t 70s
[v3] ep 3 batch  400/1831 | run 0.6751 | lr 3.98e-04 | t 80s
[v3] ep 3 batch  450/1831 | run 0.6759 | lr 3.98e-04 | t 90s
[v3] ep 3 batch  500/1831 | run 0.6756 | lr 3.98e-04 | t 100s
[v3] ep 3 batch  550/1831 | run 0.6796 | lr 3.98e-04 | t 110s
[v3] ep 3 batch  600/1831 | run 0.6805 | lr 3.98e-04 | t 120s
[v3] ep 3 batch  650/1831 | run 0.6794 | lr 3.98e-04 | t 130s
[v3] ep 3 batch  700/1831 | run 0.6778 | lr 3.98e-04 | t 140s
[v3] ep 3 batch  750/1831 | run 0.6752 | lr 3.98e-04 | t 150s
[v3] ep 3 batch  800/1831 | run 0.6724 | lr 3.98e-04 | t 160s
[v3] ep 3 batch  850/1831 | run 0.6710 | lr 3.98e-04 | t 170s
[v3] ep 3 batch  900/1831 | run 0.6714 | lr 3.98e-04 | t 180s
[v3] ep 3 batch  950/1831 | run 0.6703 | lr 3.98e-04 | t 189s
[v3] ep 3 batch 1000/1831 | run 0.6705 | lr 3.98e-04 | t 199s
[v3] ep 3 batch 1050/1831 | run 0.6737 | lr 3.98e-04 | t 209s
[v3] ep 3 batch 1100/1831 | run 0.6759 | lr 3.98e-04 | t 219s
[v3] ep 3 batch 1150/1831 | run 0.6776 | lr 3.98e-04 | t 229s
[v3] ep 3 batch 1200/1831 | run 0.6791 | lr 3.98e-04 | t 239s
[v3] ep 3 batch 1250/1831 | run 0.6815 | lr 3.98e-04 | t 248s
[v3] ep 3 batch 1300/1831 | run 0.6840 | lr 3.98e-04 | t 258s
[v3] ep 3 batch 1350/1831 | run 0.6867 | lr 3.98e-04 | t 268s
[v3] ep 3 batch 1400/1831 | run 0.6898 | lr 3.98e-04 | t 278s
[v3] ep 3 batch 1450/1831 | run 0.6914 | lr 3.98e-04 | t 288s
[v3] ep 3 batch 1500/1831 | run 0.6926 | lr 3.98e-04 | t 297s
[v3] ep 3 batch 1550/1831 | run 0.6937 | lr 3.98e-04 | t 307s
[v3] ep 3 batch 1600/1831 | run 0.6956 | lr 3.98e-04 | t 318s
[v3] ep 3 batch 1650/1831 | run 0.6979 | lr 3.98e-04 | t 328s
[v3] ep 3 batch 1700/1831 | run 0.7010 | lr 3.98e-04 | t 338s
[v3] ep 3 batch 1750/1831 | run 0.7031 | lr 3.98e-04 | t 348s
[v3] ep 3 batch 1800/1831 | run 0.7064 | lr 3.98e-04 | t 358s
[v3] ep  3 | tr 0.7079 | vl_ema 14.6998 | iou_ema 0.0343 *NEW BEST* | total 1498s
[v3] ep 4 batch    0/1831 | run 0.7930 | lr 3.93e-04 | t 0s
[v3] ep 4 batch   50/1831 | run 0.8316 | lr 3.93e-04 | t 10s
[v3] ep 4 batch  100/1831 | run 0.8181 | lr 3.93e-04 | t 20s
[v3] ep 4 batch  150/1831 | run 0.8129 | lr 3.93e-04 | t 30s
[v3] ep 4 batch  200/1831 | run 0.8062 | lr 3.93e-04 | t 40s
[v3] ep 4 batch  250/1831 | run 0.7993 | lr 3.93e-04 | t 50s
[v3] ep 4 batch  300/1831 | run 0.7994 | lr 3.93e-04 | t 60s
[v3] ep 4 batch  350/1831 | run 0.8047 | lr 3.93e-04 | t 70s
[v3] ep 4 batch  400/1831 | run 0.8053 | lr 3.93e-04 | t 80s
[v3] ep 4 batch  450/1831 | run 0.8056 | lr 3.93e-04 | t 90s
[v3] ep 4 batch  500/1831 | run 0.8047 | lr 3.93e-04 | t 99s
[v3] ep 4 batch  550/1831 | run 0.8039 | lr 3.93e-04 | t 109s
[v3] ep 4 batch  600/1831 | run 0.8044 | lr 3.93e-04 | t 119s
[v3] ep 4 batch  650/1831 | run 0.8054 | lr 3.93e-04 | t 129s
[v3] ep 4 batch  700/1831 | run 0.8057 | lr 3.93e-04 | t 139s
[v3] ep 4 batch  750/1831 | run 0.8075 | lr 3.93e-04 | t 149s
[v3] ep 4 batch  800/1831 | run 0.8072 | lr 3.93e-04 | t 160s
[v3] ep 4 batch  850/1831 | run 0.8090 | lr 3.93e-04 | t 170s
[v3] ep 4 batch  900/1831 | run 0.8161 | lr 3.93e-04 | t 180s
[v3] ep 4 batch  950/1831 | run 0.8207 | lr 3.93e-04 | t 190s
[v3] ep 4 batch 1000/1831 | run 0.8260 | lr 3.93e-04 | t 200s
[v3] ep 4 batch 1050/1831 | run 0.8303 | lr 3.93e-04 | t 210s
[v3] ep 4 batch 1100/1831 | run 0.8335 | lr 3.93e-04 | t 220s
[v3] ep 4 batch 1150/1831 | run 0.8363 | lr 3.93e-04 | t 230s
[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0002 warmup=2 ema=0.999
[v3] RESUMED from ep 3 (best iou 0.0343) → starting ep 4
[v3] ep 4 batch    0/1831 | run 0.8011 | lr 1.96e-04 | t 8s
[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0002 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 0 batch    0/1831 | run 1.4749 | lr 6.67e-05 | t 6s
[v3] ep 0 batch   50/1831 | run 1.3261 | lr 6.67e-05 | t 12s
[v3] ep 0 batch  100/1831 | run 1.2375 | lr 6.67e-05 | t 19s
[v3] ep 0 batch  150/1831 | run 1.1794 | lr 6.67e-05 | t 27s
